Time (s),"Position [x,y]",Orientation (rads),State information
0.001,"[518.86, 579.666]",0.465,
0.238,"[577.68, 621.662]",1.437,
0.353,"[661.172, 674.869]",0.57,
0.471,"[675.133, 696.947]",0.558,
0.588,"[759.945, 753.18]",1.413,
0.705,"[893.123, 757.687]",1.661,
0.814,"[1010.604, 753.333]",1.555,
0.937,"[1090.088, 741.993]",1.87,
1.051,"[1103.912, 738.485]",1.769,
1.168,"[1141.476, 739.81]",1.303,
1.286,"[1259.526, 763.524]",1.443,
1.402,"[1319.041, 786.367]",0.966,
1.519,"[1386.14, 821.522]",1.21,
1.636,"[1386.14, 821.522]",4.352,Collision with obstacle
1.752,"[1272.996, 775.052]",4.293,
1.87,"[1230.429, 741.443]",3.795,
1.989,"[1160.995, 639.431]",3.684,
2.106,"[1152.285, 623.771]",3.615,
2.225,"[1111.165, 526.013]",3.465,
2.342,"[1083.929, 480.345]",3.894,
2.458,"[1007.513, 447.429]",4.718,
2.574,"[940.886, 463.165]",5.171,
2.695,"[865.886, 480.152]",4.699,
2.814,"[772.415, 505.13]",5.248,
2.934,"[696.238, 554.373]",5.325,
3.053,"[609.008, 578.809]",4.646,
3.173,"[495.418, 567.169]",4.574,
3.293,"[412.478, 589.172]",5.369,
3.415,"[302.825, 626.483]",4.711,
3.534,"[231.312, 620.036]",4.534,
3.654,"[191.921, 605.188]",4.17,
3.774,"[153.26, 530.169]",3.065,
3.894,"[136.472, 436.144]",3.572,
4.014,"[51.798, 348.459]",4.247,
4.133,"[51.798, 348.459]",7.389,Collision with wall
4.253,"[176.051, 397.736]",7.564,
4.373,"[198.553, 403.79]",7.618,
4.488,"[299.51, 400.742]",8.15,
4.608,"[422.503, 387.48]",7.773,
4.728,"[506.827, 407.335]",7.473,
4.851,"[588.48, 432.372]",7.64,
4.97,"[733.761, 466.565]",7.606,
5.091,"[874.292, 487.914]",7.801,
5.213,"[884.504, 487.872]",7.915,
5.336,"[966.264, 523.613]",6.968,
5.456,"[1042.138, 551.021]",8.046,
5.578,"[1098.588, 556.14]",7.481,
5.701,"[1219.674, 583.222]",7.787,
5.814,"[1338.77, 576.742]",8.03,
5.932,"[1433.534, 597.365]",7.25,
