Time (s),"Position [x,y]",Orientation (rads),State information
0.0,"[502.56, 588.7]",0.058,
0.232,"[474.796, 660.584]",-0.795,
0.341,"[441.692, 709.685]",-0.392,
0.453,"[412.304, 820.021]",-0.129,
0.57,"[409.309, 886.862]",0.04,
0.685,"[442.182, 994.86]",0.551,
0.817,"[490.145, 1032.12]",1.269,
0.927,"[554.178, 1045.246]",1.468,
1.04,"[686.886, 1059.345]",1.462,
1.154,"[709.129, 1058.921]",1.718,
1.268,"[828.178, 1040.535]",1.73,
1.38,"[845.895, 1037.211]",1.782,
1.496,"[920.375, 993.704]",2.417,
1.612,"[941.862, 943.278]",3.061,
1.729,"[937.142, 897.155]",3.426,
1.848,"[929.662, 856.841]",3.224,
1.967,"[908.233, 741.042]",3.425,
2.085,"[883.657, 637.087]",3.322,
2.202,"[864.444, 475.267]",3.197,
2.32,"[866.505, 433.934]",2.986,
2.439,"[874.992, 284.871]",3.183,
2.558,"[871.235, 162.461]",3.161,
2.679,"[874.324, 139.187]",2.858,
2.798,"[931.997, 19.009]",2.53,
2.918,"[931.997, 19.009]",5.672,Collision with wall detected
3.038,"[845.403, 136.643]",5.625,
3.156,"[796.454, 250.77]",6.131,
3.275,"[761.753, 312.123]",5.406,
3.392,"[689.875, 391.114]",5.684,
3.512,"[679.746, 471.935]",6.633,
3.632,"[688.828, 541.749]",6.192,
3.752,"[668.399, 667.107]",6.051,
3.872,"[654.352, 726.539]",6.051,
3.992,"[655.195, 773.881]",6.551,
4.11,"[651.992, 891.141]",5.961,
4.229,"[599.649, 978.264]",5.524,
4.349,"[571.707, 1051.288]",6.312,
4.466,"[610.287, 1127.527]",7.192,
4.586,"[664.25, 1178.514]",7.002,
4.705,"[720.829, 1211.247]",7.657,
4.827,"[809.0, 1235.624]",7.512,
4.949,"[904.356, 1230.417]",8.305,
5.07,"[971.229, 1154.773]",9.096,
5.192,"[1004.204, 1079.321]",8.929,
5.314,"[1040.83, 945.109]",9.388,
5.436,"[1019.197, 874.589]",10.057,
5.558,"[973.124, 774.792]",9.657,
5.679,"[963.034, 739.475]",9.749,
5.795,"[951.27, 633.202]",9.321,
5.913,"[1000.938, 560.347]",8.332,
