Time (s),"Position [x,y]",Orientation (rads),State information
0.001,"[501.37, 618.736]",0.023,
0.228,"[473.071, 750.574]",-0.446,
0.336,"[442.368, 794.716]",-0.77,
0.449,"[423.937, 879.477]",0.341,
0.569,"[463.906, 948.905]",0.703,
0.677,"[545.68, 1034.678]",0.82,
0.785,"[569.875, 1096.0]",-0.068,
0.919,"[553.783, 1149.571]",-0.516,
1.033,"[487.068, 1190.493]",-1.526,
1.154,"[360.811, 1160.579]",-2.081,
1.276,"[323.076, 1129.179]",-2.448,
1.397,"[323.076, 1129.179]",0.693,Collision with wall
1.52,"[337.648, 1144.567]",0.823,
1.644,"[410.466, 1184.488]",1.315,
1.758,"[460.328, 1194.873]",1.415,
1.869,"[529.451, 1181.751]",2.101,
1.979,"[639.815, 1152.193]",1.564,
2.097,"[769.713, 1163.191]",1.409,
2.224,"[849.465, 1169.911]",1.564,
2.342,"[960.076, 1151.92]",1.9,
2.46,"[990.17, 1134.114]",2.31,
2.582,"[1045.196, 1070.548]",2.546,
2.706,"[1092.917, 985.679]",2.713,
2.832,"[1118.235, 946.683]",2.418,
2.949,"[1139.853, 853.423]",3.409,
3.064,"[1102.706, 798.904]",4.07,
3.184,"[1072.665, 720.401]",2.944,
3.305,"[1095.767, 650.102]",2.704,
3.423,"[1142.709, 514.274]",2.913,
3.548,"[1150.592, 487.161]",2.804,
3.672,"[1156.633, 412.987]",3.317,
3.795,"[1142.397, 375.284]",3.688,
3.924,"[1131.271, 334.992]",3.134,
4.04,"[1131.271, 334.992]",6.275,Collision with wall
4.162,"[1158.896, 401.261]",7.081,
4.285,"[1228.417, 446.131]",7.481,
4.4,"[1252.71, 453.323]",7.652,
4.522,"[1375.456, 458.992]",7.964,
4.64,"[1375.456, 458.992]",11.105,Collision with obstacle
4.761,"[1292.227, 509.753]",11.981,
4.879,"[1210.466, 553.401]",10.991,
4.999,"[1149.819, 560.599]",11.237,
5.114,"[1079.996, 599.586]",11.773,
5.235,"[1002.243, 631.894]",11.006,
5.362,"[901.588, 601.33]",10.396,
5.481,"[883.422, 588.997]",10.402,
5.605,"[792.331, 581.243]",11.419,
5.722,"[747.191, 595.869]",11.199,
5.834,"[696.907, 592.805]",10.67,
5.949,"[678.024, 583.812]",10.432,
